Category,Subcategory,ID,Icon,Label_EN,Label_ZH,Prompt_Value
View Type,Main,view_aerial,🦅,Aerial View,鸟瞰,"Aerial view, drone perspective, bird's eye view"
View Type,Main,view_eye_level,👁️,Eye Level,人视,"Eye level perspective, street view, 1.6m height"
View Type,Main,view_worm,🐛,Worm's Eye,仰拍,"Worm's eye view, dramatic low angle, monumental"
View Type,Main,view_interior,🏠,Interior,室内,"Interior perspective, indoor view, spatial depth"
View Type,Time,time_day,☀️,Day,日景,"daylight, daytime"
View Type,Time,time_dusk,🌅,Dusk/Golden Hour,黄昏,"golden hour, dusk, sunset atmosphere"
View Type,Time,time_night,🌙,Night/Blue Hour,夜景,"blue hour, night scene, warm interior glow"
Building Style,Main,style_minimalist,⬜,Minimalist,极简主义,"modern minimalism, clean geometry, simple forms"
Building Style,Main,style_organic,🌊,Organic/Parametric,有机流线,"organic architecture, flowing curves, parametric design"
Building Style,Main,style_brutalist,🏗️,Brutalist,粗野主义,"brutalist architecture, raw concrete, monumental scale"
Building Style,Main,style_hightech,⚙️,High-Tech,高技派,"high-tech architecture, exposed structure, steel and glass"
Building Style,Main,style_biophilic,🌿,Biophilic/Green,生态绿建,"biophilic design, vertical forest, green terraces"
Building Style,Main,style_lightweight,🏢,Lightweight,轻钢改造,"lightweight steel extension, double-skin facade"
Building Style,Architect Ref,arch_mir,,Muted Atmospheric,静谧北欧,"Muted atmospheric style, sophisticated aesthetic, low saturation"
Building Style,Architect Ref,arch_sanaa,,Ethereal Transparent,轻盈透明,"Ethereal transparent style, white metal, delicate structure"
Building Style,Architect Ref,arch_zaha,,Parametric Fluid,参数化流线,"Parametric fluid style, organic forms, dynamic curves"
Building Style,Architect Ref,arch_chipperfield,,Rational Modernism,理性现代,"Rational modernism, minimal, monumental, clean lines"
Building Style,Architect Ref,arch_bruther,,Transparent High-Tech,工业高技,"Transparent high-tech style, delicate structure, industrial elegance"
Building Style,Architect Ref,arch_lacaton,,Sustainable Double-Skin,生态双层,"Sustainable double-skin facade, lightweight, semi-transparent"
Building Style,Architect Ref,arch_ando,,Geometric Concrete,几何清水,"Geometric raw concrete style, light and shadow, monumental"
Lighting,Main,light_golden,🌅,Golden Hour,黄金时刻,"Golden hour, warm sunset glow, side lighting, long shadows"
Lighting,Main,light_blue,🌌,Blue Hour,蓝调时刻,"Blue hour, dusk, cold ambient light, warm interior glow"
Lighting,Main,light_morning,🌄,Morning Light,清晨,"Morning light, fresh atmosphere, soft volumetric light"
Lighting,Main,light_noon,☀️,Bright Daylight,正午,"Bright clear daylight, sharp shadows, high contrast"
Lighting,Main,light_overcast,☁️,Overcast Diffused,阴天漫射,"Overcast weather, soft diffused light, no harsh shadows"
Lighting,Weather,weather_clear,☀️,Clear Sky,晴朗澄澈,"Clear sky, bright, atmospheric"
Lighting,Weather,weather_misty,🌫️,Misty/Hazy,薄雾朦胧,"Misty, hazy atmosphere, atmospheric perspective, volumetric fog"
Lighting,Weather,weather_rainy,🌧️,Wet/After Rain,雨后湿润,"Wet ground, puddle reflections, moist atmosphere"
Lighting,Weather,weather_dramatic,⛈️,Dramatic Clouds,戏剧云层,"Dramatic clouds, moody sky, storm atmosphere"
Material,Main,mat_white_concrete,⬜,White Concrete,白色清水混凝土,"White fair-faced concrete, matte finish, clean surface"
Material,Main,mat_raw_concrete,🏗️,Raw Concrete,灰色清水混凝土,"Raw concrete, board-formed texture, exposed aggregate"
Material,Main,mat_glass,🪟,Glass Curtain Wall,玻璃幕墙,"Glass curtain wall, highly reflective, transparent facade"
Material,Main,mat_white_metal,⬜,White Metal Panel,白色金属板,"White powder-coated aluminum, matte metal finish"
Material,Main,mat_stainless,🔩,Stainless Steel,不锈钢,"Stainless steel panels, seamless reflective finish"
Material,Main,mat_wood,🪵,Warm Wood,暖木材,"Warm oak wood cladding, natural grain, timber texture"
Material,Main,mat_stone,🪨,White Stone,白色石材,"White limestone, horizontal linear grooves"
Material,Main,mat_brick,🧱,Brick,红砖,"Red brick, exposed masonry, warm terracotta tones"
Material,Main,mat_corrugated,〰️,Corrugated Metal,波纹金属,"White corrugated metal roof, ribbed texture"
Material,Finish,finish_clean,,Clean/Pristine,干净整洁,"clean surface, no stains, pristine condition"
Material,Finish,finish_weathered,,Weathered,风化侘寂,"weathered texture, wabi-sabi aesthetic, patina"
Material,Finish,finish_wet,,Wet Surface,潮湿表面,"wet surface, moisture, glistening"
Environment,Main,env_forest,🌲,Forest/Hills,森林山丘,"Dense forest, surrounded by hills, lush vegetation"
Environment,Main,env_wetland,🌿,Wetland/Reeds,湿地芦苇,"Wetland, lakeside, reeds, water reflection, calm water"
Environment,Main,env_seaside,🌊,Seaside/Beach,海边沙滩,"Seaside, beach, ocean view, coastal landscape"
Environment,Main,env_river,💧,River/Waterfall,河流瀑布,"River, waterfall, cascading water, mist, lush greenery"
Environment,Main,env_plaza,🏙️,Urban Plaza,城市广场,"Urban plaza, wet pavement, city context, stone paving"
Environment,Main,env_dense_city,🌃,Dense City,高密度城市,"Dense urban fabric, Tokyo-like neighborhood"
Environment,Main,env_campus,🎓,Campus/Lawn,校园草坪,"Campus lawn, manicured green grass, deciduous trees"
Environment,Main,env_snow,❄️,Winter/Snow,冬季雪景,"Snow scene, winter landscape, frost, white ground"
Entourage,Density,ent_none,🧘,Empty/Serene,无人空灵,"No people, serene atmosphere, zen-like calm"
Entourage,Density,ent_few,🚶,Few Distant,少量远景,"Few distant figures, small scale reference, blurred motion"
Entourage,Density,ent_moderate,👥,Moderate Activity,适量活动,"People walking and relaxing, moderate activity"
Entourage,Density,ent_lively,🎉,Lively/Crowded,热闹活泼,"Lively crowd, active scene, vibrant atmosphere"
Entourage,Activity,act_walking,,Walking,散步,"people walking, strolling casually"
Entourage,Activity,act_sitting,,Sitting,休憩,"people sitting, relaxing on benches"
Entourage,Activity,act_sports,,Sports,运动,"sports activity, beach volleyball, joggers"
Entourage,Activity,act_business,,Business,商务,"business people, formal attire"
Render Style,Main,render_mir,🎨,Muted Atmospheric,静谧北欧,"Muted atmospheric aesthetic, sophisticated, low saturation, muted tones"
Render Style,Main,render_cinematic,🎬,Cinematic,电影级,"Cinematic architectural visualization, dramatic composition"
Render Style,Main,render_photography,📷,Arch Photography,建筑摄影,"Architectural photography style, 35mm lens, professional"
Render Style,Main,render_unreal,🎮,Hyper-realistic Engine,实时引擎,"Hyper-realistic engine render, ray tracing, global illumination"
